epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,228.377,1.41116,1.90306,1.89874,1.32894,0,0.35315,0.53815,0.35014,0.12296,0.32886,0.4498,0.28659,0.07488,2.09082,1.30997,2.53726,1.96989,0,0.000665233,0.000665233,0.000665233
2,431.625,1.4421,1.73354,1.53189,1.3535,0,0.37812,0.5261,0.31203,0.12919,0.25826,0.38554,0.17734,0.04058,1.76382,1.39213,2.19666,1.65136,0,0.00131871,0.00131871,0.00131871
3,639.168,1.38113,1.71109,1.41064,1.32004,0,0.52423,0.49562,0.45433,0.1736,0.46528,0.47791,0.3264,0.09347,1.96439,1.37103,1.95015,1.61809,0,0.00195899,0.00195899,0.00195899
4,199.861,1.36632,1.69945,1.36294,1.3149,0,0.64326,0.64659,0.56711,0.25206,0.556,0.5502,0.39649,0.11542,1.75037,1.27779,1.93978,1.53661,0,0.0019406,0.0019406,0.0019406
5,393.545,1.27839,1.6699,1.27875,1.26219,0,0.6465,0.61696,0.57487,0.2825,0.5648,0.53815,0.41246,0.1163,1.5953,1.27584,1.72166,1.40983,0,0.0019208,0.0019208,0.0019208
6,585.025,1.24968,1.64979,1.25949,1.24807,0,0.73991,0.61446,0.64049,0.34174,0.65269,0.51807,0.44452,0.13376,1.52504,1.34081,1.59488,1.35611,0,0.001901,0.001901,0.001901
7,776.502,1.191,1.63323,1.19586,1.22603,0,0.71541,0.62249,0.63468,0.3578,0.61314,0.52209,0.4661,0.1438,1.51342,1.25482,1.54654,1.35255,0,0.0018812,0.0018812,0.0018812
8,968.779,1.16258,1.60003,1.15545,1.20411,0,0.63001,0.6223,0.56251,0.29936,0.5474,0.52943,0.41149,0.12883,1.53865,1.29241,1.68592,1.42557,0,0.0018614,0.0018614,0.0018614
9,1162.08,1.13114,1.59641,1.12547,1.19438,0,0.71381,0.6747,0.66896,0.38644,0.64658,0.61044,0.54868,0.16892,1.49342,1.25939,1.43337,1.36508,0,0.0018416,0.0018416,0.0018416
10,1355.46,1.10537,1.56836,1.07597,1.17992,0,0.73491,0.63052,0.67333,0.41194,0.62891,0.54217,0.50556,0.15668,1.37956,1.24099,1.46558,1.28938,0,0.0018218,0.0018218,0.0018218
11,1548.01,1.08479,1.54318,1.03947,1.17127,0,0.71878,0.66667,0.69714,0.43073,0.60474,0.57144,0.49182,0.14338,1.37704,1.27331,1.30755,1.29948,0,0.001802,0.001802,0.001802
