epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,231.445,2.0256,3.10369,2.73765,1.83243,0,0.39514,0.19108,0.17398,0.09622,0.31394,0.15539,0.12106,0.03435,1.93536,2.32773,2.48272,1.77469,0,0.000665352,0.000665352,0.000665352
2,459.774,1.92734,2.79454,2.43677,1.69128,0,0.34035,0.22528,0.19558,0.10456,0.31391,0.19033,0.14603,0.04293,1.90711,2.27965,2.42524,1.744,0,0.00130564,0.00130564,0.00130564
3,674.581,1.93451,2.7633,2.43675,1.68407,0,0.30439,0.22379,0.1884,0.10006,0.27039,0.19331,0.14,0.04032,1.95179,2.25814,2.45022,1.75895,0,0.00191954,0.00191954,0.00191954
4,893.542,1.9643,2.74081,2.45496,1.69001,0,0.33616,0.23346,0.19174,0.0959,0.30549,0.19331,0.14193,0.04141,1.946,2.23401,2.44351,1.7418,0,0.0018812,0.0018812,0.0018812
5,1104.92,1.90731,2.70178,2.3704,1.66358,0,0.35743,0.25104,0.21003,0.10859,0.32355,0.22724,0.17197,0.05538,1.88057,2.17521,2.33178,1.71111,0,0.0018416,0.0018416,0.0018416
6,1318.59,1.84759,2.67541,2.325,1.62752,0,0.39515,0.28104,0.2537,0.13723,0.37764,0.25353,0.21148,0.065,1.81068,2.13196,2.22892,1.64117,0,0.001802,0.001802,0.001802
7,1532.34,1.83816,2.64707,2.29691,1.61177,0,0.39705,0.26914,0.23973,0.13029,0.42395,0.23941,0.20347,0.06667,1.81415,2.15449,2.27999,1.65404,0,0.0017624,0.0017624,0.0017624
8,1749.38,1.84228,2.65396,2.27262,1.6079,0,0.33163,0.25279,0.20148,0.09852,0.32803,0.20743,0.15796,0.04837,1.8657,2.17218,2.348,1.68278,0,0.0017228,0.0017228,0.0017228
9,1960.76,1.83919,2.61492,2.27032,1.6043,0,0.36847,0.28773,0.24772,0.13282,0.35677,0.23792,0.20256,0.06412,1.79501,2.12982,2.21907,1.6112,0,0.0016832,0.0016832,0.0016832
10,2179.04,1.79787,2.58117,2.23482,1.58064,0,0.40343,0.27603,0.24569,0.13557,0.37507,0.24089,0.19857,0.06573,1.7794,2.14536,2.24693,1.62719,0,0.0016436,0.0016436,0.0016436
11,2399.43,1.826,2.63608,2.25086,1.59789,0,0.33748,0.26617,0.21195,0.11556,0.32232,0.22156,0.16977,0.05333,1.81018,2.15438,2.33638,1.66694,0,0.001604,0.001604,0.001604
12,2612.44,1.77147,2.57952,2.2088,1.56592,0,0.37253,0.28074,0.24263,0.13667,0.36139,0.24461,0.19905,0.06309,1.76759,2.15713,2.3,1.6133,0,0.0015644,0.0015644,0.0015644
13,2826.05,1.75488,2.55231,2.16754,1.55589,0,0.36364,0.26468,0.23149,0.12413,0.34539,0.23494,0.18735,0.05536,1.81936,2.14307,2.26699,1.64393,0,0.0015248,0.0015248,0.0015248
14,3043.18,1.78204,2.61692,2.20504,1.56783,0,0.43884,0.27658,0.2627,0.14843,0.42547,0.25502,0.22158,0.07203,1.74547,2.11575,2.16134,1.58236,0,0.0014852,0.0014852,0.0014852
15,3266.59,1.74384,2.5701,2.11899,1.52568,0,0.41805,0.27658,0.24612,0.13593,0.40329,0.2427,0.2071,0.06158,1.75097,2.10321,2.19081,1.58191,0,0.0014456,0.0014456,0.0014456
16,3482.46,1.73943,2.54,2.15142,1.53425,0,0.38407,0.29071,0.25898,0.13728,0.3724,0.26249,0.21551,0.07179,1.77298,2.10374,2.19973,1.60474,0,0.001406,0.001406,0.001406
17,3714.28,1.73412,2.53091,2.13623,1.54012,0,0.4012,0.30632,0.2675,0.14475,0.39419,0.27138,0.23031,0.07666,1.76954,2.09746,2.18383,1.58644,0,0.0013664,0.0013664,0.0013664
18,3932.81,1.72271,2.54365,2.13593,1.53366,0,0.40238,0.28476,0.25513,0.14023,0.39838,0.2501,0.20627,0.06521,1.74932,2.11665,2.20409,1.57621,0,0.0013268,0.0013268,0.0013268
19,4145.62,1.71638,2.51142,2.09659,1.52181,0,0.40816,0.3026,0.2819,0.15315,0.39681,0.2855,0.24156,0.07675,1.72622,2.05981,2.13201,1.55623,0,0.0012872,0.0012872,0.0012872
20,4364.11,1.70436,2.52671,2.11711,1.50878,0,0.39884,0.29145,0.27492,0.15494,0.39871,0.26543,0.23186,0.07646,1.72465,2.06007,2.15382,1.56979,0,0.0012476,0.0012476,0.0012476
21,4578.03,1.68862,2.48941,2.07199,1.50472,0,0.38821,0.28476,0.25742,0.1411,0.3745,0.25725,0.21759,0.06541,1.73385,2.08138,2.17994,1.59121,0,0.001208,0.001208,0.001208
22,4795.05,1.69592,2.45897,2.09355,1.49891,0,0.41056,0.30037,0.27407,0.14957,0.405,0.26367,0.23541,0.07482,1.73622,2.08028,2.15503,1.58088,0,0.0011684,0.0011684,0.0011684
23,5006.7,1.70507,2.45999,2.07732,1.50126,0,0.40401,0.30929,0.27755,0.15535,0.42214,0.27658,0.24277,0.08031,1.71077,2.03156,2.17732,1.55892,0,0.0011288,0.0011288,0.0011288
24,5223.52,1.68593,2.46606,2.05718,1.49997,0,0.43311,0.30335,0.28394,0.15989,0.4609,0.27286,0.25594,0.07918,1.69609,2.03391,2.11075,1.55419,0,0.0010892,0.0010892,0.0010892
25,5438.98,1.66793,2.458,2.02999,1.47132,0,0.38156,0.32788,0.28559,0.15986,0.37166,0.28625,0.24303,0.07956,1.7247,2.04698,2.07669,1.56763,0,0.0010496,0.0010496,0.0010496
26,5657.31,1.68333,2.48606,2.02891,1.47785,0,0.41665,0.31278,0.28219,0.16528,0.39689,0.29442,0.24542,0.08062,1.69041,2.02321,2.11534,1.5348,0,0.00101,0.00101,0.00101
27,5877.7,1.65285,2.45823,2.01031,1.47352,0,0.4161,0.32055,0.29183,0.16728,0.46152,0.26766,0.25085,0.08093,1.70275,2.05216,2.09267,1.54265,0,0.0009704,0.0009704,0.0009704
28,6093.43,1.65331,2.4298,2.01341,1.4683,0,0.427,0.27286,0.26899,0.15347,0.41505,0.2513,0.23139,0.07992,1.72757,2.02151,2.13125,1.56633,0,0.0009308,0.0009308,0.0009308
29,6306.52,1.67197,2.43594,2.00985,1.49056,0,0.41869,0.29888,0.27805,0.158,0.41482,0.26617,0.24094,0.07763,1.71209,2.02905,2.09017,1.5613,0,0.0008912,0.0008912,0.0008912
30,6526.95,1.62897,2.40125,1.98885,1.45853,0,0.4448,0.29591,0.29033,0.16709,0.44491,0.2632,0.25226,0.08595,1.69756,2.01998,2.08256,1.53803,0,0.0008516,0.0008516,0.0008516
31,6746.78,1.63173,2.42076,1.968,1.45725,0,0.43624,0.32788,0.30225,0.17244,0.43529,0.29368,0.26533,0.08473,1.68294,2.02949,2.05421,1.54098,0,0.000812,0.000812,0.000812
32,6965.94,1.62258,2.41742,1.95999,1.43886,0,0.49615,0.29591,0.29716,0.17087,0.4597,0.27063,0.25092,0.08482,1.70154,2.04142,2.02328,1.53856,0,0.0007724,0.0007724,0.0007724
33,7180.57,1.60331,2.39588,1.93027,1.43591,0,0.42579,0.3197,0.29898,0.17067,0.41106,0.27881,0.25038,0.08321,1.68373,1.99292,2.02805,1.52089,0,0.0007328,0.0007328,0.0007328
34,7398.49,1.60409,2.40146,1.92572,1.439,0,0.45929,0.29814,0.29242,0.16426,0.45809,0.26774,0.25063,0.08166,1.70135,2.02255,2.08036,1.55236,0,0.0006932,0.0006932,0.0006932
35,7616.1,1.58704,2.38437,1.92157,1.43021,0,0.43012,0.31152,0.28306,0.15987,0.48253,0.27138,0.24721,0.07511,1.69763,2.04672,2.06559,1.54142,0,0.0006536,0.0006536,0.0006536
36,7833.61,1.57602,2.35668,1.90616,1.42631,0,0.43786,0.30929,0.28683,0.16175,0.44491,0.26394,0.24457,0.07789,1.69663,2.02141,2.07283,1.55656,0,0.000614,0.000614,0.000614
37,8055.69,1.58784,2.35872,1.91732,1.43427,0,0.41214,0.33234,0.30239,0.17355,0.41218,0.29814,0.25984,0.08672,1.70084,1.98548,2.03022,1.54957,0,0.0005744,0.0005744,0.0005744
38,8274.01,1.5802,2.35014,1.89567,1.41903,0,0.45999,0.31896,0.3014,0.17462,0.46822,0.28253,0.26601,0.08669,1.66821,1.99273,2.0301,1.52471,0,0.0005348,0.0005348,0.0005348
39,8493.34,1.56618,2.33904,1.86513,1.41248,0,0.44324,0.33234,0.30752,0.17531,0.46002,0.27509,0.26843,0.08958,1.68178,1.98987,1.995,1.52557,0,0.0004952,0.0004952,0.0004952
40,8717.11,1.54764,2.34924,1.84726,1.41731,0,0.43343,0.33558,0.29609,0.16508,0.48075,0.27138,0.2588,0.08025,1.69996,1.99469,2.06701,1.53835,0,0.0004556,0.0004556,0.0004556
41,8917.36,1.6415,2.22,2.05597,1.50959,0,0.45094,0.32342,0.30244,0.17267,0.42313,0.28625,0.26269,0.08274,1.66534,1.99522,2.03103,1.50655,0,0.000416,0.000416,0.000416
42,9103.59,1.61689,2.19866,2.00163,1.50067,0,0.42048,0.3316,0.29762,0.16644,0.45727,0.2684,0.25181,0.07771,1.68976,2.0285,2.04854,1.53032,0,0.0003764,0.0003764,0.0003764
43,9289.8,1.61335,2.18101,1.98081,1.49115,0,0.43474,0.3316,0.29589,0.16798,0.42839,0.29591,0.25771,0.08158,1.6888,2.00398,2.045,1.53195,0,0.0003368,0.0003368,0.0003368
44,9484.96,1.6106,2.20747,1.93496,1.49735,0,0.44441,0.31896,0.29585,0.16837,0.43655,0.2855,0.26302,0.0845,1.68079,2.00807,2.05359,1.52666,0,0.0002972,0.0002972,0.0002972
45,9677.2,1.60252,2.20189,1.94297,1.49637,0,0.44357,0.32416,0.29371,0.16782,0.43209,0.29189,0.2554,0.08187,1.68507,2.00927,2.05098,1.53558,0,0.0002576,0.0002576,0.0002576
46,9873.01,1.58841,2.16916,1.90582,1.47992,0,0.43389,0.32538,0.29041,0.1656,0.40701,0.28327,0.24919,0.0802,1.69287,2.01874,2.06302,1.53841,0,0.000218,0.000218,0.000218
47,10067,1.57753,2.14404,1.89898,1.48173,0,0.4678,0.31822,0.29645,0.17142,0.45345,0.28327,0.26016,0.08647,1.65821,1.98165,2.02759,1.52347,0,0.0001784,0.0001784,0.0001784
48,10265.7,1.57301,2.13674,1.87601,1.48018,0,0.44368,0.32316,0.29313,0.16815,0.44983,0.28699,0.25704,0.08221,1.68267,2.01073,2.04984,1.54403,0,0.0001388,0.0001388,0.0001388
49,10468.5,1.55364,2.14085,1.88516,1.46673,0,0.45931,0.3197,0.29444,0.17003,0.45578,0.28996,0.26119,0.08369,1.66818,2.01612,2.02779,1.52878,0,9.92e-05,9.92e-05,9.92e-05
50,10668.2,1.55014,2.14156,1.89292,1.4558,0,0.43668,0.33086,0.29411,0.17022,0.43436,0.28476,0.25436,0.08247,1.66827,2.00411,2.03211,1.53136,0,5.96e-05,5.96e-05,5.96e-05
