epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8937,1.37275,1.57714,1.5502,1.46598,0,0.50793,0.31959,0.33549,0.20607,0.48864,0.28522,0.28211,0.10336,1.43861,1.66268,1.6808,1.39945,0,0.000649123,0.000649123,0.000649123
2,63.296,1.23109,1.32553,1.34438,1.28879,0,0.45799,0.38144,0.37971,0.21754,0.44678,0.35523,0.32666,0.12271,1.42113,1.5453,1.63708,1.32005,0,0.00128974,0.00128974,0.00128974
3,88.6285,1.17733,1.24889,1.28437,1.2607,0,0.44964,0.39061,0.37035,0.22111,0.44147,0.37686,0.34244,0.1299,1.40628,1.45192,1.58606,1.30022,0,0.00190395,0.00190395,0.00190395
4,113.861,1.20047,1.23886,1.24374,1.2513,0,0.48572,0.38946,0.38745,0.22436,0.47317,0.37113,0.35526,0.13507,1.41401,1.45104,1.55068,1.32834,0,0.0018812,0.0018812,0.0018812
5,140.782,1.15471,1.16969,1.21771,1.2389,0,0.45064,0.36655,0.37273,0.20983,0.45074,0.35968,0.35054,0.13192,1.43151,1.41707,1.61516,1.35483,0,0.0018416,0.0018416,0.0018416
6,166.464,1.1143,1.1895,1.19332,1.20128,0,0.44848,0.40664,0.38979,0.22787,0.44107,0.38689,0.34361,0.13626,1.38088,1.39709,1.58629,1.31352,0,0.001802,0.001802,0.001802
7,191.558,1.10995,1.16354,1.16508,1.20593,0,0.45858,0.40321,0.38888,0.22936,0.44519,0.37777,0.35245,0.1359,1.398,1.40081,1.56104,1.3187,0,0.0017624,0.0017624,0.0017624
8,217.071,1.06005,1.17414,1.1305,1.1677,0,0.45492,0.43986,0.40504,0.23934,0.45743,0.38717,0.35803,0.13977,1.37476,1.43196,1.54017,1.31639,0,0.0017228,0.0017228,0.0017228
9,242.636,1.07253,1.14276,1.13234,1.18994,0,0.479,0.42125,0.40682,0.2422,0.46637,0.38144,0.36365,0.14474,1.36773,1.38459,1.54814,1.31283,0,0.0016832,0.0016832,0.0016832
10,267.642,1.06795,1.12574,1.10866,1.18339,0,0.49188,0.38259,0.38947,0.23395,0.47126,0.36655,0.35821,0.1395,1.36112,1.38974,1.56741,1.31986,0,0.0016436,0.0016436,0.0016436
11,292.745,1.07277,1.15955,1.09622,1.16832,0,0.48808,0.40737,0.39813,0.23884,0.47343,0.37572,0.35776,0.14062,1.33927,1.37801,1.55782,1.29439,0,0.001604,0.001604,0.001604
12,317.706,1.05904,1.1565,1.08121,1.16441,0,0.4808,0.41008,0.40246,0.23851,0.51708,0.37777,0.36994,0.14217,1.35569,1.37964,1.5674,1.31571,0,0.0015644,0.0015644,0.0015644
13,341.963,1.01288,1.10688,1.08164,1.17283,0,0.46498,0.40779,0.41074,0.24386,0.46726,0.38982,0.3866,0.14397,1.3411,1.34676,1.53309,1.30911,0,0.0015248,0.0015248,0.0015248
14,368.185,1.04422,1.13898,1.10177,1.16253,0,0.47768,0.43872,0.41386,0.24972,0.50162,0.41352,0.3873,0.15203,1.35412,1.37239,1.54559,1.29339,0,0.0014852,0.0014852,0.0014852
15,393.108,1.03146,1.12325,1.05797,1.14179,0,0.52407,0.41466,0.42771,0.26575,0.51246,0.41058,0.40217,0.15865,1.31772,1.34938,1.51588,1.27652,0,0.0014456,0.0014456,0.0014456
